chrom	start	end	num	list	SRR1665054.sam_MENA_rubella.bed	SRR1665063.sam_MENA_rubella.bed	SRR1665070.sam_MENA_rubella.bed	SRR6382384.sam_MENA_rubella.bed	SRR6382386.sam_MENA_rubella.bed	SRR6382397.sam_MENA_rubella.bed	SRR8904463.sam_MENA_rubella.bed	SRR8904466.sam_MENA_rubella.bed
jlSCF_9	15105287	15172534	1	7	0	0	0	0	0	0	1	0
jlSCF_9	22036652	22041793	1	7	0	0	0	0	0	0	1	0
jlSCF_9	22041793	22060569	3	5,6,7	0	0	0	0	1	1	1	0
jlSCF_9	22060569	22359981	2	5,7	0	0	0	0	1	0	1	0
jlSCF_9	22359981	22363904	1	7	0	0	0	0	0	0	1	0
jlSCF_9	22433969	22461175	1	7	0	0	0	0	0	0	1	0
jlSCF_9	22461175	22714709	3	5,6,7	0	0	0	0	1	1	1	0
jlSCF_9	22714709	22895310	2	5,7	0	0	0	0	1	0	1	0
jlSCF_9	22895310	23001622	1	5	0	0	0	0	1	0	0	0
jlSCF_9	23001622	23155943	2	5,7	0	0	0	0	1	0	1	0
jlSCF_9	23155943	23198183	3	5,6,7	0	0	0	0	1	1	1	0
jlSCF_9	23198183	23597970	2	5,7	0	0	0	0	1	0	1	0
jlSCF_9	23597970	23615481	1	5	0	0	0	0	1	0	0	0
jlSCF_9	23615481	23672311	2	5,7	0	0	0	0	1	0	1	0
jlSCF_9	23672311	24644503	1	7	0	0	0	0	0	0	1	0
jlSCF_9	24677699	25435303	1	7	0	0	0	0	0	0	1	0
jlSCF_9	25571899	25577840	6	1,2,3,4,6,8	1	1	1	1	0	1	0	1
jlSCF_9	26199048	26229360	1	3	0	0	1	0	0	0	0	0
jlSCF_9	26496068	26871297	3	2,4,8	0	1	0	1	0	0	0	1
jlSCF_9	26871297	26892011	4	2,4,6,8	0	1	0	1	0	1	0	1
jlSCF_9	26892011	27075291	2	4,8	0	0	0	1	0	0	0	1
jlSCF_9	27075291	27131989	3	4,7,8	0	0	0	1	0	0	1	1
jlSCF_9	27131989	27216066	2	4,8	0	0	0	1	0	0	0	1
jlSCF_9	27216066	27244957	1	8	0	0	0	0	0	0	0	1
jlSCF_9	27244957	27516325	2	3,8	0	0	1	0	0	0	0	1
jlSCF_9	27516325	27613180	1	3	0	0	1	0	0	0	0	0
jlSCF_9	27613180	27747650	2	3,7	0	0	1	0	0	0	1	0
jlSCF_9	27747650	27829841	3	3,7,8	0	0	1	0	0	0	1	1
jlSCF_9	27829841	27844170	2	3,8	0	0	1	0	0	0	0	1
jlSCF_9	27844170	27861642	3	2,3,8	0	1	1	0	0	0	0	1
jlSCF_9	27861642	27933559	6	2,3,4,5,6,8	0	1	1	1	1	1	0	1
jlSCF_9	27933559	27954391	2	2,8	0	1	0	0	0	0	0	1
jlSCF_9	27954391	28000318	3	2,7,8	0	1	0	0	0	0	1	1
jlSCF_9	28000318	28217289	2	7,8	0	0	0	0	0	0	1	1
jlSCF_9	28217289	43515947	1	8	0	0	0	0	0	0	0	1
jlSCF_10	0	252166	1	7	0	0	0	0	0	0	1	0
jlSCF_10	317541	387231	1	8	0	0	0	0	0	0	0	1
jlSCF_10	387231	472125	2	7,8	0	0	0	0	0	0	1	1
